Test no.,mean diameter d (mm),Particle density p (g/mm^3),Settling velocity w (mm/s),Shear velocity u (mm/s),Concentration C,H,Rouse Number,d/H,B1,A1,a1,B2,A2,a2
A1,1.8,0.00105,25.6,32.8,33,40,1.951219512,0.045,-10.8,9.1,1,-3.2,3.2,1
A2,1.3,0.00105,21.7,33.5,0.44,40,1.619402985,0.0325,-9.5,8,1,-2.9,2.9,1
A3,1.4,0.0016,69,47.6,0.31,40,3.62394958,0.035,-17.6,8.6,1,-8.5,6.8,1
A4,1.1,0.0016,51.5,45.2,0.24,40,2.848451327,0.0275,-10,8.1,1,-8.5,5.2,1
A5,0.58,0.0016,45.1,47.9,0.097,40,2.353862213,0.0145,-7,7.1,1,-4.9,4,1
A6,0.6,0.0016,37.9,49,0.057,40,1.933673469,0.015,-9.5,8.3,1,-3.4,3.2,1
A7,2.29,0.00134,61.5,48.3,0.44,40,3.183229814,0.0573,-5.8,6,1,-4.1,3.5,1
B4,1.1,0.0016,51.5,61.5,0.2,40,2.093495935,0.0275,1,1,1,1,1,1
B5,0.58,0.0016,45.1,63.3,0.194,40,1.781200632,0.0145,1,1,1,1,1,1
B6,0.6,0.0016,37.9,62.3,0.42,40,1.520866774,0.015,1,1,1,1,1,1
