subdistrict,pincode,Postal officeType,divisionname,regionname,circlename,Taluk,Districtname,statename
'Achalapur ',504273,B.O,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA
'Adegaon ',504307,B.O,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA
'Adilabad Collectorate ',504001,S.O,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA
'Adilabad ',504001,H.O,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA
'Ainam ',504273,B.O,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA
'Aknepalli ',504251,B.O,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA
'Akoli ',504309,B.O,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA
'Alegaon ',504201,B.O,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA
'Aloor ',504110,B.O,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA
'Ambaripet ',504202,B.O,Adilabad,Hyderabad,Andhra Pradesh,Khanapur,Adilabad,TELANGANA
